id;name;light;number;address;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry;datetime
38;Jacinto Benavente;1;34;Plaza de Jacinto Benavente;1;0;24;19;0;0;{'type': 'Point', 'coordinates': [-3.7036825, 40.4146755]};2020-12-13T12:55:03.723690
39;Plaza del Cordón;0;35;Plaza del Cordón nº 1;1;0;24;2;20;1;{'type': 'Point', 'coordinates': [-3.7103285, 40.4141931]};2020-12-13T12:55:03.723690
40;Plaza de Ramales;2;36;Plaza de Ramales nº 1;1;0;24;10;11;1;{'type': 'Point', 'coordinates': [-3.71183, 40.4168]};2020-12-13T12:55:03.723690
41;Plaza San Francisco;0;37;Plaza de San Francisco nº 5;1;0;24;5;16;0;{'type': 'Point', 'coordinates': [-3.7144964, 40.4108442]};2020-12-13T12:55:03.723690
42;Plaza de los Carros;1;38;Carrera de San Francisco nº 1;1;0;24;16;6;1;{'type': 'Point', 'coordinates': [-3.7114762, 40.4114041]};2020-12-13T12:55:03.723690
43;Plaza de la Cebada;1;39;Plaza de la Cebada nº 16 ;1;0;27;23;1;0;{'type': 'Point', 'coordinates': [-3.7088337, 40.4112744]};2020-12-13T12:55:03.723690
44;Conde de Romanones;1;40;Plaza del Conde de Romanones nº 9;1;0;24;24;0;0;{'type': 'Point', 'coordinates': [-3.7049407, 40.4138846]};2020-12-13T12:55:03.723690
45;Antón Martín;3;41;Calle Atocha nº 54;1;1;18;0;17;0;{'type': 'Point', 'coordinates': [-3.6991147, 40.4122047]};2020-12-13T12:55:03.723690
46;Santa Isabel;0;42;Calle Santa Isabel nº 32;1;0;24;4;18;0;{'type': 'Point', 'coordinates': [-3.6982318, 40.4107085]};2020-12-13T12:55:03.723690
47;Jesús y María;2;43;Calle Lavapiés nº 34-36;1;0;24;10;12;0;{'type': 'Point', 'coordinates': [-3.7025024, 40.4101564]};2020-12-13T12:55:03.723690
48;Plaza de Nelson Mandela;2;44;Calle Mesón de Paredes nº 35;1;0;21;8;10;2;{'type': 'Point', 'coordinates': [-3.7040666, 40.4097617]};2020-12-13T12:55:03.723690
49;Puerta de Toledo;2;45;Glorieta de la Puerta de Toledo nº 1;1;0;21;12;8;1;{'type': 'Point', 'coordinates': [-3.7110513, 40.4070358]};2020-12-13T12:55:03.723690
50;Ribera de Curtidores;1;46;Calle Ribera de Curtidores nº 28;1;0;24;18;3;0;{'type': 'Point', 'coordinates': [-3.7071259, 40.4053153]};2020-12-13T12:55:03.723690
51;Embajadores 1;2;47;Glorieta de Embajadores nº 6;1;0;24;8;15;0;{'type': 'Point', 'coordinates': [-3.7028265, 40.4047851]};2020-12-13T12:55:03.723690
52;Embajadores 2;0;48;Glorieta de Embajadores nº 2;1;0;24;6;17;0;{'type': 'Point', 'coordinates': [-3.7022591, 40.4056107]};2020-12-13T12:55:03.723690
53;Casa Encendida;0;49;Ronda de Atocha nº 34;1;0;24;7;15;1;{'type': 'Point', 'coordinates': [-3.6992759, 40.4060941]};2020-12-13T12:55:03.723690
54;Museo Reina Sofía;2;50;Calle Santa Isabel nº 57;1;0;24;9;14;0;{'type': 'Point', 'coordinates': [-3.6933463, 40.4083684]};2020-12-13T12:55:03.723690
55;Ronda de Atocha;2;51;Ronda de Atocha nº 2;1;0;27;17;10;0;{'type': 'Point', 'coordinates': [-3.6935205, 40.4075606]};2020-12-13T12:55:03.723690
56;Plaza de Santa Ana;0;52;Plaza de Santa Ana nº 10;1;0;24;5;16;0;{'type': 'Point', 'coordinates': [-3.7007164, 40.4144226]};2020-12-13T12:55:03.723690
57;Plaza de Lavapiés;2;53;Calle Valencia nº 1;1;0;24;8;14;1;{'type': 'Point', 'coordinates': [-3.7007111, 40.4083061]};2020-12-13T12:55:03.723690
58;Barceló;0;54;Calle Barceló nº 7;1;0;21;5;13;0;{'type': 'Point', 'coordinates': [-3.700423, 40.4266828]};2020-12-13T12:55:03.723690
59;Plaza de San Ildefonso;0;55;Plaza de San Ildefonso nº 3;1;0;24;4;17;1;{'type': 'Point', 'coordinates': [-3.7020842, 40.4239757]};2020-12-13T12:55:03.723690
60;Plaza del Carmen ;0;56;Plaza del Carmen nº 1;1;0;24;5;18;0;{'type': 'Point', 'coordinates': [-3.7032414, 40.4184192]};2020-12-13T12:55:03.723690
61;Santa Cruz del Marcenado;2;57;Calle Santa Cruz del Marcenado nº 24;1;0;24;12;12;0;{'type': 'Point', 'coordinates': [-3.7126299, 40.4295658]};2020-12-13T12:55:03.723690
62;Augusto Figueroa;0;58;Calle Augusto Figueroa nº 33;1;0;24;1;21;2;{'type': 'Point', 'coordinates': [-3.697895, 40.4222862]};2020-12-13T12:55:03.723690
63;Plaza de Juan Pujol;2;59;Calle Espíritu Santo nº 30;1;0;21;5;11;0;{'type': 'Point', 'coordinates': [-3.7043418, 40.4255495]};2020-12-13T12:55:03.723690
64;Plaza de la Independencia;1;60;Plaza de la Independencia nº 6;1;0;24;21;2;0;{'type': 'Point', 'coordinates': [-3.688398, 40.419752]};2020-12-13T12:55:03.723690
65;Narváez;2;61;Calle O'Donnell nº 28;1;0;24;13;11;0;{'type': 'Point', 'coordinates': [-3.6752045, 40.4213983]};2020-12-13T12:55:03.723690
66;O'Donnell;2;62;Calle O'Donnell nº 50;1;0;24;9;13;0;{'type': 'Point', 'coordinates': [-3.6724968, 40.4213148]};2020-12-13T12:55:03.723690
67;Ibiza;2;63;Calle Ibiza nº 62;1;0;24;15;9;0;{'type': 'Point', 'coordinates': [-3.6708959, 40.4179237]};2020-12-13T12:55:03.723690
