fecha_hora;idelem;intensidad;ocupacion;carga;nivelServicio;error;st_x;st_y
13/12/2020 12:40:07;3901;480;3;29;1;N;442346,694448948;4473092,90009028
13/12/2020 12:40:07;3902;800;4;34;1;N;442774,469371036;4473165,55545401
13/12/2020 12:40:07;3903;40;17;22;0;N;442902,240290888;4472750,81704421
13/12/2020 12:40:07;3904;100;23;27;1;N;442861,974027871;4472744,91731855
13/12/2020 12:40:07;3905;480;1;16;0;N;443019,855727791;4472928,55075343
13/12/2020 12:40:07;3906;180;0;21;0;N;443012,751317426;4472809,73490013
13/12/2020 12:40:07;3433;700;3;21;0;N;442931,509753;4472772,43894067
13/12/2020 12:40:07;3907;140;2;30;1;N;442882,492267101;4472885,88160368
13/12/2020 12:40:07;3908;180;3;19;0;N;442659,202833257;4473038,09117119
13/12/2020 12:40:07;7036;140;2;15;0;N;442926,434778779;4472778,19979469
13/12/2020 12:40:07;9841;300;0;12;0;N;438338,115544704;4480454,49708179
13/12/2020 12:40:07;9843;540;4;29;1;N;438098,880458143;4480455,13738494
13/12/2020 12:40:07;9842;140;2;21;0;N;438305,950926946;4480365,97449961
13/12/2020 12:40:07;3909;600;3;20;0;N;442328,472341156;4478106,53458111
13/12/2020 12:40:07;3910;540;4;15;0;N;442703,668178519;4478108,85061351
13/12/2020 12:40:07;3911;440;2;23;0;N;442534,685252877;4477944,17351396
13/12/2020 12:40:07;3460;200;1;13;0;N;443412,198598478;4478255,71204997
13/12/2020 12:40:07;3461;580;5;22;0;N;443321,400033962;4478184,78968115
13/12/2020 12:40:07;3912;880;3;23;0;N;443485,088615569;4478182,52552084
13/12/2020 12:40:07;3913;560;3;27;1;N;442556,784483026;4478269,71793573
13/12/2020 12:40:07;3914;640;5;21;0;N;442614,070599179;4478104,31804049
13/12/2020 12:40:07;3915;740;4;26;1;N;442533,724640823;4478023,75062929
13/12/2020 12:40:07;3916;600;4;19;0;N;442458,032126514;4478107,1855427
13/12/2020 12:40:07;3917;460;3;17;0;N;442489,997368006;4478113,94188072
13/12/2020 12:40:07;3918;400;3;21;0;N;443419,461376571;4478260,52329487
